experiment,description,model_name,split,subset,seq_len,pred_len,mae,rmse,mse
A2,A1 + weather,TimeFilter,val,rain_hours,24,12,0.03791454806923866,0.04719667528644794,0.002227526158094406
A3,A2 + blast V2,DLinear,test,blast_hours,24,12,0.11584573984146118,0.16957387695924808,0.028755299746990204
A3,A2 + blast V2,DLinear,test,non_event_hours,24,12,0.16076119244098663,0.47440529976577434,0.2250603884458542
A3,A2 + blast V2,DLinear,test,rain_hours,24,12,0.15069255232810974,0.41851521357932137,0.17515498399734497
A3,A2 + blast V2,DLinear,val,blast_hours,24,12,0.08820051699876785,0.1190027157930414,0.014161646366119385
A3,A2 + blast V2,DLinear,val,non_event_hours,24,12,0.08592899143695831,0.10416577060631951,0.010850507766008377
A3,A2 + blast V2,DLinear,val,rain_hours,24,12,0.07780517637729645,0.09249113196637368,0.00855460949242115
A3,A2 + blast V2,LSTM,test,blast_hours,24,12,0.037843961268663406,0.04993862486737323,0.002493866253644228
A3,A2 + blast V2,LSTM,test,non_event_hours,24,12,0.09933862090110779,0.4746147751991517,0.2252591848373413
A3,A2 + blast V2,LSTM,test,rain_hours,24,12,0.11423800885677338,0.4140975325537384,0.17147676646709442
A3,A2 + blast V2,LSTM,val,blast_hours,24,12,0.07706713676452637,0.12654069518413608,0.01601254753768444
A3,A2 + blast V2,LSTM,val,non_event_hours,24,12,0.049547020345926285,0.08072431867665793,0.006516415625810623
A3,A2 + blast V2,LSTM,val,rain_hours,24,12,0.028195764869451523,0.03237187791960672,0.0010479384800419211
A3,A2 + blast V2,PatchTST,test,blast_hours,24,12,0.06815455853939056,0.09945380928331547,0.009891060180962086
A3,A2 + blast V2,PatchTST,test,non_event_hours,24,12,0.14321444928646088,0.481549652121308,0.23189006745815277
A3,A2 + blast V2,PatchTST,test,rain_hours,24,12,0.14523249864578247,0.4150644810690616,0.1722785234451294
A3,A2 + blast V2,PatchTST,val,blast_hours,24,12,0.08178625255823135,0.11835591056210214,0.014008121564984322
A3,A2 + blast V2,PatchTST,val,non_event_hours,24,12,0.06506715714931488,0.0839918460406123,0.007054630201309919
A3,A2 + blast V2,PatchTST,val,rain_hours,24,12,0.055998336523771286,0.06724868777166539,0.004522386007010937
A3,A2 + blast V2,STGCN,test,blast_hours,24,12,0.04311032593250275,0.0554173044603318,0.003071077633649111
A3,A2 + blast V2,STGCN,test,non_event_hours,24,12,0.14888976514339447,0.49977008182505656,0.2497701346874237
A3,A2 + blast V2,STGCN,test,rain_hours,24,12,0.14054402709007263,0.4186359855244712,0.17525608837604523
A3,A2 + blast V2,STGCN,val,blast_hours,24,12,0.08886681497097015,0.1384738932622665,0.01917501911520958
A3,A2 + blast V2,STGCN,val,non_event_hours,24,12,0.05375497788190842,0.07629606320302597,0.005821089260280132
A3,A2 + blast V2,STGCN,val,rain_hours,24,12,0.058009374886751175,0.07894039217995863,0.006231585517525673
A3,A2 + blast V2,TCN,test,blast_hours,24,12,0.047957971692085266,0.06639362313330177,0.004408113192766905
A3,A2 + blast V2,TCN,test,non_event_hours,24,12,0.15479989349842072,0.5175366367050307,0.26784417033195496
A3,A2 + blast V2,TCN,test,rain_hours,24,12,0.12776468694210052,0.4204060269639236,0.17674122750759125
A3,A2 + blast V2,TCN,val,blast_hours,24,12,0.09683755785226822,0.16115894683673315,0.02597220614552498
A3,A2 + blast V2,TCN,val,non_event_hours,24,12,0.043923139572143555,0.07567277031076826,0.0057263681665062904
A3,A2 + blast V2,TCN,val,rain_hours,24,12,0.0329609289765358,0.04620678788721745,0.0021350672468543053
A3,A2 + blast V2,TimeFilter,test,blast_hours,24,12,0.09103382378816605,0.13874821509252788,0.01925106719136238
A3,A2 + blast V2,TimeFilter,test,non_event_hours,24,12,0.15399259328842163,0.48478469134882063,0.23501619696617126
A3,A2 + blast V2,TimeFilter,test,rain_hours,24,12,0.1501333862543106,0.4264472512297812,0.18185725808143616
A3,A2 + blast V2,TimeFilter,val,blast_hours,24,12,0.07946010679006577,0.13092016117810315,0.017140088602900505
A3,A2 + blast V2,TimeFilter,val,non_event_hours,24,12,0.0469636470079422,0.07645291360813794,0.005845047999173403
A3,A2 + blast V2,TimeFilter,val,rain_hours,24,12,0.0424329936504364,0.05296703293290344,0.0028055065777152777
A4,A2 + blast V3 real-coordinate,DLinear,test,blast_hours,24,12,0.124668650329113,0.18443289187345352,0.03401549160480499
A4,A2 + blast V3 real-coordinate,DLinear,test,non_event_hours,24,12,0.15802857279777527,0.4760146040148721,0.22658990323543549
A4,A2 + blast V3 real-coordinate,DLinear,test,rain_hours,24,12,0.14942041039466858,0.41804434190787176,0.1747610718011856
A4,A2 + blast V3 real-coordinate,DLinear,val,blast_hours,24,12,0.0843605026602745,0.11722020249241025,0.01374057587236166
A4,A2 + blast V3 real-coordinate,DLinear,val,non_event_hours,24,12,0.07767729461193085,0.09560604426490327,0.009140515699982643
A4,A2 + blast V3 real-coordinate,DLinear,val,rain_hours,24,12,0.07478276640176773,0.08876275119551214,0.00787882599979639
A4,A2 + blast V3 real-coordinate,LSTM,test,blast_hours,24,12,0.03856922313570976,0.05027410468227142,0.002527485601603985
A4,A2 + blast V3 real-coordinate,LSTM,test,non_event_hours,24,12,0.09966126829385757,0.47478858484214,0.22542420029640198
A4,A2 + blast V3 real-coordinate,LSTM,test,rain_hours,24,12,0.11553074419498444,0.4173024472815053,0.17414133250713348
A4,A2 + blast V3 real-coordinate,LSTM,val,blast_hours,24,12,0.07587756961584091,0.1299007016245774,0.016874192282557487
A4,A2 + blast V3 real-coordinate,LSTM,val,non_event_hours,24,12,0.04459637030959129,0.0813250141529082,0.00661375792697072
A4,A2 + blast V3 real-coordinate,LSTM,val,rain_hours,24,12,0.026444336399435997,0.031189028297553864,0.0009727554861456156
A4,A2 + blast V3 real-coordinate,PatchTST,test,blast_hours,24,12,0.07911516726016998,0.12035276989948701,0.014484789222478867
A4,A2 + blast V3 real-coordinate,PatchTST,test,non_event_hours,24,12,0.14501361548900604,0.48152842394296397,0.2318696230649948
A4,A2 + blast V3 real-coordinate,PatchTST,test,rain_hours,24,12,0.1485413759946823,0.41535754382188284,0.17252188920974731
A4,A2 + blast V3 real-coordinate,PatchTST,val,blast_hours,24,12,0.08151189237833023,0.11581031682205285,0.01341202948242426
A4,A2 + blast V3 real-coordinate,PatchTST,val,non_event_hours,24,12,0.07003739476203918,0.0878070672525035,0.007710081059485674
A4,A2 + blast V3 real-coordinate,PatchTST,val,rain_hours,24,12,0.06304499506950378,0.0754011976902672,0.005685340613126755
A4,A2 + blast V3 real-coordinate,STGCN,test,blast_hours,24,12,0.05725522339344025,0.07416617890708352,0.005500622093677521
A4,A2 + blast V3 real-coordinate,STGCN,test,non_event_hours,24,12,0.14593559503555298,0.479362998697783,0.2297888845205307
A4,A2 + blast V3 real-coordinate,STGCN,test,rain_hours,24,12,0.14827492833137512,0.407774668433236,0.16628018021583557
A4,A2 + blast V3 real-coordinate,STGCN,val,blast_hours,24,12,0.07791683077812195,0.12399997263930196,0.015375993214547634
A4,A2 + blast V3 real-coordinate,STGCN,val,non_event_hours,24,12,0.058915622532367706,0.07999765609682648,0.006399624980986118
A4,A2 + blast V3 real-coordinate,STGCN,val,rain_hours,24,12,0.06742493063211441,0.08648954076251734,0.00748044066131115
A4,A2 + blast V3 real-coordinate,TCN,test,blast_hours,24,12,0.060312334448099136,0.09912496474651465,0.009825758635997772
A4,A2 + blast V3 real-coordinate,TCN,test,non_event_hours,24,12,0.18635137379169464,0.5384676872022872,0.2899474501609802
A4,A2 + blast V3 real-coordinate,TCN,test,rain_hours,24,12,0.13427212834358215,0.4185062054614972,0.17514744400978088
A4,A2 + blast V3 real-coordinate,TCN,val,blast_hours,24,12,0.08151419460773468,0.13740023656773365,0.01887882500886917
A4,A2 + blast V3 real-coordinate,TCN,val,non_event_hours,24,12,0.05199766531586647,0.07888340595728997,0.006222591735422611
A4,A2 + blast V3 real-coordinate,TCN,val,rain_hours,24,12,0.040770139545202255,0.054223480464853535,0.002940185833722353
A4,A2 + blast V3 real-coordinate,TimeFilter,test,blast_hours,24,12,0.10139358788728714,0.15794248067258154,0.024945827201008797
A4,A2 + blast V3 real-coordinate,TimeFilter,test,non_event_hours,24,12,0.16576087474822998,0.49562347830386067,0.24564263224601746
A4,A2 + blast V3 real-coordinate,TimeFilter,test,rain_hours,24,12,0.15148767828941345,0.4250996760279395,0.18070973455905914
A4,A2 + blast V3 real-coordinate,TimeFilter,val,blast_hours,24,12,0.08462490141391754,0.14146589817832322,0.02001260034739971
A4,A2 + blast V3 real-coordinate,TimeFilter,val,non_event_hours,24,12,0.04414503276348114,0.08068243688004705,0.006509655620902777
A4,A2 + blast V3 real-coordinate,TimeFilter,val,rain_hours,24,12,0.0464617945253849,0.05896511608198619,0.003476884914562106
