experiment,description,seq_len,pred_len,split,feature_count,sample_count,row_count,mae,rmse,mse
A4,A2 + blast V3,24,12,test,18,117,35919,1.2908286883828168e-08,1.5949026883741656e-08,2.5437145853831407e-16
A4,A2 + blast V3,24,12,val,18,117,35919,1.2908286883828168e-08,1.5949026883741656e-08,2.5437145853831407e-16
A4,A2 + blast V3,48,1,test,18,128,39296,2.9802322387695312e-08,2.9802322387695312e-08,8.881784197001252e-16
A4,A2 + blast V3,48,1,val,18,128,39296,2.9802322387695312e-08,2.9802322387695312e-08,8.881784197001252e-16
A4,A2 + blast V3,48,3,test,18,126,38682,3.1933204525103065e-08,3.664697686604502e-08,1.3430009134204391e-15
A4,A2 + blast V3,48,3,val,18,126,38682,3.1933204525103065e-08,3.664697686604502e-08,1.3430009134204391e-15
A4,A2 + blast V3,48,6,test,18,123,37761,1.6457605056530156e-08,1.942252185379537e-08,3.772343551611588e-16
A4,A2 + blast V3,48,6,val,18,123,37761,1.6457605056530156e-08,1.942252185379537e-08,3.772343551611588e-16
A4,A2 + blast V3,48,12,test,18,117,35919,1.7736489610342687e-08,1.972603492686514e-08,3.891164539359033e-16
A4,A2 + blast V3,48,12,val,18,117,35919,1.7736489610342687e-08,1.972603492686514e-08,3.891164539359033e-16
A4,A2 + blast V3,96,1,test,18,128,39296,2.825414924245706e-08,2.84153998927263e-08,8.074349510635498e-16
A4,A2 + blast V3,96,1,val,18,128,39296,2.825414924245706e-08,2.84153998927263e-08,8.074349510635498e-16
A4,A2 + blast V3,96,3,test,18,126,38682,1.9358566305527347e-08,2.1496761053130873e-08,4.621107357754043e-16
A4,A2 + blast V3,96,3,val,18,126,38682,1.9358566305527347e-08,2.1496761053130873e-08,4.621107357754043e-16
A4,A2 + blast V3,96,6,test,18,123,37761,2.3960343042972454e-08,2.5689679499827936e-08,6.599596328038797e-16
A4,A2 + blast V3,96,6,val,18,123,37761,2.3960343042972454e-08,2.5689679499827936e-08,6.599596328038797e-16
A4,A2 + blast V3,96,12,test,18,117,35919,1.8046620198219898e-08,2.1547023384713013e-08,4.642742167413694e-16
A4,A2 + blast V3,96,12,val,18,117,35919,1.8046620198219898e-08,2.154704304015557e-08,4.642750637743167e-16
